entidad,id,etiqueta,año,de_quien_habla,campo,valor,afirma,nivel,enlace,estado,detalle
### SALE DEL DATASET. Se regenera en cada build: editar aquí no sirve de nada. Lo que se edita es data/aportaciones.csv ###,,,,,,,,,,,
edición,edicion-1908,1908,1908,Edición de 1908,fecha del desfile,1908-08-30,"batalladeflores.net, página de palmarés de 1908: «La primera edición de la Batalla de Flores se celebró el 30 de agosto de 1908»",3,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1908/,publicado,domingo 30 de agosto de 1908
edición,edicion-1908,1908,1908,Edición de 1908,fecha del desfile,1908-08-30,"batalladeflores.net, página de palmarés de la edición 1908",3,,publicado,domingo 30 de agosto de 1908
edición,edicion-1908,1908,1908,Edición de 1908,curiosidad,"Cayó en domingo, no en viernes. El último viernes de agosto de 1908 fue el 28.","batalladeflores.net, página de palmarés de 1908: «La primera edición de la Batalla de Flores se celebró el 30 de agosto de 1908»",2,https://www.batalladeflores.net/batalla-de-flores-de-laredo-palmares-de-la-edicion-1908/,deducción nuestra,"se deduce de la fecha del desfile (1908-08-30), que es lo que afirma esta fuente"
edición,edicion-1908,1908,1908,Edición de 1908,curiosidad,"Cayó en domingo, no en viernes. El último viernes de agosto de 1908 fue el 28.","batalladeflores.net, página de palmarés de la edición 1908",2,,deducción nuestra,"se deduce de la fecha del desfile (1908-08-30), que es lo que afirma esta fuente"
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,título de la carroza,La Argentina,Semilla del proyecto (sin página registrada),2,,publicado,
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,puesto en el palmarés,1,Semilla del proyecto (sin página registrada),2,,publicado,
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,"grupo, tal y como lo escribe la fuente",Nicasio Escalante y socios,Semilla del proyecto (sin página registrada),2,,publicado,
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,"grupo, tal y como lo escribe la fuente",Gonzalo Bringas,Ficha de carroza en batalladeflores.net,1,https://www.batalladeflores.net/la-argentina/,descartado,otra fuente dice otra cosa y se muestra la suya
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,"grupo, en nuestra forma unificada",Nicasio Escalante,Decisión nuestra al unificar el nombre del grupo,2,,publicado,«Nicasio Escalante y socios» → «Nicasio Escalante»: la fuente firma la carroza a varios y el plegado se queda con uno: desaparece «socios»
carroza,1908-la-argentina-x-1,escalante_1908_argentina,1908,La Argentina,esta foto es de esta carroza,batalla_de_flores/fotos/archivo/1846-argentina-1846.jpg,batalladeflores.net,1,https://www.batalladeflores.net/wp-content/uploads/2013/08/1908LaArgentina.jpg,publicado,publicada en la ficha de esta carroza en batalladeflores.net
